"rating","text","ts","bot_percentage","profileimage"
"0.1","RT @carandbike: .@Olacabs offers an in-trip insurance cover to its users, across all categories viz. cabs, auto, kaali-peeli, and e-ricksha…","1522984486.0","",""
"-0.1","WATCH | For Cauvery board, Tamil Nadu farmers partially bury themselves in sand https://t.co/zplRSDNcQg https://t.co/Tnjm2VSzbD","1522984331.0","",""
"0.0","Man found beheaded in Kashmir orchard, 2 days after kidnapping by Lashkar https://t.co/QZR7d8Va7r https://t.co/sYVz6ExOVC","1522984208.0","",""
"0.04999999999999999","RT @Sports_NDTV: #GC2018: India's #JoshnaChinappa wins the #GC2018Squash women's singles round of 16 match vs Tamika Saxby of Australia\n\nLi…","1522983864.0","",""
"0.5","Top stories now on https://t.co/Fbzw6mR9Q5 \n\n#NDTVTopStories https://t.co/vgTxwgPhp0","1522983629.0","",""
"0.1","Why Donald Trump went after Jeff Bezos: Two billionaires across a cultural divide\nhttps://t.co/aEQF0R1DbN https://t.co/yJTLmoI0ij","1522983600.0","",""
"-0.03181818181818183","RT @Sports_NDTV: #GC2018Squash women's singles round of 16: #DipikaPallikal of India faces England's Alison Waters\n\n#GC2018 \n\nLive: https:/…","1522983575.0","",""
"0.06818181818181818","#DeepakLather claims bronze, gives India fourth weightlifting medal\n#GC2018 #CWG2018\n\nTrack LIVE updates here:… https://t.co/Mq5WgHSJV0","1522983541.0","",""
"-0.1","RT @NdtvLivestream: Another night in jail for Salman Khan. Tweet us your views @NdtvLivestream @AnkitaNDTV https://t.co/n98gAyvX4C","1522983361.0","",""
"-0.20000000000000004","RT @Sports_NDTV: #GC2018Squash women's singles round of 16: India's #JoshnaChinappa takes the second game 11-8 vs Tamika Saxby of Australia…","1522983323.0","",""
"0.25","Watch | First impressions of Irrfan Khan’s #Blackmail https://t.co/fDcSIdIApD","1522982868.0","",""
"-0.012499999999999997","RT @Sports_NDTV: #GC2018: India's #JoshnaChinappa wins the first game of round of 16 women's singles match 11-6 against Tamika Saxby of Aus…","1522982799.0","",""
"0.0","RT @Gadgets360: HP Upgrades ZBook Lineup for Professionals\nhttps://t.co/Rr0OEsYj5m","1522982516.0","",""
"0.0","RT @Gadgets360: OnePlus 6 Alert Slider to Offer 'Slide to Focus' Option, Hints Company https://t.co/DCDo2Bn2Qc","1522982307.0","",""
"-0.2","RT @Sports_NDTV: #GC2018: India's #JoshnaChinappa takes on Tamika Saxby of Australia in the Women's Singles Round of 16\n\n#GC2018Squash \n\nLi…","1522982282.0","",""
"-0.07500000000000001","Drunk man jumps into pool full of crocodiles. Arm ripped off but survives\nhttps://t.co/zo6VTkx0jR https://t.co/LEUWC2vLhI","1522982280.0","",""
"0.0","RT @Sports_NDTV: India trounce Malaysia in women's hockey #gc2018 #GC2018hockey\n\nhttps://t.co/nn37DPQ9TQ https://t.co/AgTGL8bWhj","1522982251.0","",""
"0.0","RT @CricketNDTVLive: 1st ODI: Smriti Mandhana hits Sophie Ecclestone for a 6!  52/2 (9.4 Ov) #INDWvENGW https://t.co/zCCTWjbxZk https://t.c…","1522982206.0","",""
"0.0","A Japanese woman tried to save a man's life in the sumo ring, but was ordered away for being 'unclean'… https://t.co/NR2UfFg4cK","1522982201.0","",""
"0.0","RT @CricketNDTVLive: 1st ODI: After 10.0 Ov, India Women 52/2. Smriti Mandhana 29 (30b), Harmanpreet Kaur 0 (0b) #INDWvENGW https://t.co/zC…","1522982196.0","",""
"0.0","RT @NDTVFood: 5 #Essential Post #Workout Recovery #Foods.\nhttps://t.co/GGNYtrraYv https://t.co/szNXxgpOm8","1522982110.0","",""
"-0.05","RT @NDTVProfit: PNB Fraud: Government Asks Hong Kong To Arrest Nirav Modi\nhttps://t.co/YNMZdAbviN","1522982100.0","",""
"0.13636363636363635","RT @Gadgets360: You can now buy the new Nokia 6 (2018) in India. Here's our unboxing video: https://t.co/nlCnCXYKbo","1522982081.0","",""
"0.0","Kolkata woman's body kept in freezer at home; husband, son lived with it for 2 years https://t.co/AzYmRT0PtM https://t.co/85v8OSl1Cr","1522981328.0","",""
"0.8","#Blog: Salman Khan's conviction is a victory to be proud of - by @SwatiWild https://t.co/pkGu2nuf45 https://t.co/k7ZJv8ArM6","1522981214.0","",""
"-0.5","RT @Sports_NDTV: #CommonwealthGames 2018: Sad I couldn't break all games records, says Sanjita Chanu\n\n#CWG2018 #GC2018 #SanjitaChanu\n\nREAD:…","1522981063.0","",""
